




Julian Date (days)   sc_1_X (km)   sc_1_Y (km)   sc_1_Z (km)   sc_1_V_X (km/s)   sc_1_V_Y (km/s)   sc_1_V_Z (km/s)
2464016.24725   92075423.42781   117335196.46426   -767995.54820   -23.43073   18.53130   0.19543
2464016.61261   91334685.59649   117917261.98048   -761817.09867   -23.54640   18.38293   0.19640
2464016.97798   90590314.88768   118494637.28619   -755608.34752   -23.66112   18.23385   0.19736
2464017.34334   89842341.16880   119067299.75585   -749369.54389   -23.77490   18.08405   0.19831
2464017.70871   89090794.44755   119635226.95624   -743100.93806   -23.88772   17.93354   0.19925
2464018.07407   88335704.87059   120198396.64738   -736802.78148   -23.99959   17.78233   0.20018
2464018.43944   87577102.72230   120756786.78335   -730475.32676   -24.11049   17.63042   0.20110
2464018.80480   86815018.42347   121310375.51316   -724118.82763   -24.22042   17.47783   0.20202
2464019.17017   86049482.53006   121859141.18156   -717733.53896   -24.32938   17.32455   0.20293
2464019.53554   85280525.73190   122403062.32986   -711319.71673   -24.43737   17.17059   0.20383
2464019.90090   84508178.85136   122942117.69679   -704877.61802   -24.54438   17.01596   0.20472
2464020.26627   83732472.84213   123476286.21925   -698407.50103   -24.65041   16.86067   0.20561
2464020.63163   82953438.78784   124005547.03315   -691909.62501   -24.75544   16.70472   0.20648
2464020.99700   82171107.90082   124529879.47420   -685384.25031   -24.85949   16.54812   0.20735
2464021.36236   81385511.52076   125049263.07867   -678831.63833   -24.96254   16.39087   0.20821
2464021.72773   80596681.11338   125563677.58417   -672252.05153   -25.06459   16.23298   0.20906
2464022.09309   79804648.26915   126073102.93042   -665645.75339   -25.16564   16.07446   0.20991
2464022.45846   79009444.70194   126577519.25999   -659013.00844   -25.26568   15.91531   0.21074
2464022.82382   78211102.24770   127076906.91909   -652354.08223   -25.36470   15.75554   0.21157
2464023.18919   77409652.86311   127571246.45824   -645669.24129   -25.46271   15.59516   0.21238
2464023.55455   76605128.62429   128060518.63304   -638958.75319   -25.55971   15.43417   0.21319
2464023.91992   75797561.72541   128544704.40488   -632222.88644   -25.65568   15.27259   0.21399
2464024.28529   74986984.47737   129023784.94167   -625461.91055   -25.75062   15.11040   0.21478
2464024.65065   74173429.30646   129497741.61848   -618676.09598   -25.84454   14.94763   0.21557
2464025.01602   73356928.75296   129966556.01831   -611865.71415   -25.93742   14.78428   0.21634
2464025.38138   72537515.46986   130430209.93270   -605031.03743   -26.02926   14.62036   0.21711
2464025.74675   71715222.22144   130888685.36248   -598172.33909   -26.12006   14.45587   0.21787
2464026.11211   70890081.88190   131341964.51835   -591289.89333   -26.20982   14.29081   0.21861
2464026.47748   70062127.43406   131790029.82159   -584383.97526   -26.29853   14.12521   0.21935
2464026.84284   69231391.96790   132232863.90470   -577454.86089   -26.38619   13.95905   0.22009
2464027.20821   68397908.67926   132670449.61201   -570502.82710   -26.47280   13.79236   0.22081
2464027.57357   67561710.86841   133102770.00035   -563528.15164   -26.55834   13.62513   0.22152
2464027.93894   66722831.93870   133529808.33963   -556531.11313   -26.64283   13.45738   0.22223
2464028.30430   65881305.39516   133951548.11344   -549511.99103   -26.72625   13.28910   0.22292
2464028.66967   65037164.84309   134367973.01970   -542471.06565   -26.80861   13.12031   0.22361
2464029.03504   64190443.98673   134779066.97122   -535408.61810   -26.88990   12.95101   0.22429
2464029.40040   63341176.62778   135184814.09627   -528324.93033   -26.97011   12.78122   0.22496
2464029.76577   62489396.66409   135585198.73916   -521220.28508   -27.04924   12.61093   0.22562
2464030.13113   61635138.08818   135980205.46081   -514094.96587   -27.12730   12.44015   0.22627
2464030.49650   60778434.98589   136369819.03930   -506949.25701   -27.20427   12.26890   0.22691
2464030.86186   59919321.53493   136754024.47042   -499783.44358   -27.28016   12.09717   0.22754
2464031.22723   59057832.00352   137132806.96818   -492597.81141   -27.35496   11.92498   0.22817
2464031.59259   58194000.74892   137506151.96535   -485392.64706   -27.42867   11.75233   0.22878
2464031.95796   57327862.21605   137874045.11398   -478168.23785   -27.50129   11.57923   0.22939
2464032.32332   56459450.93608   138236472.28590   -470924.87179   -27.57281   11.40568   0.22998
2464032.68869   55588801.52496   138593419.57323   -463662.83761   -27.64323   11.23170   0.23057
2464033.05405   54715948.68205   138944873.28882   -456382.42474   -27.71255   11.05728   0.23115
2464033.41942   53840927.18867   139290819.96681   -449083.92329   -27.78076   10.88244   0.23172
2464033.78478   52963771.90664   139631246.36300   -441767.62404   -27.84787   10.70719   0.23228
2464034.15015   52084517.77693   139966139.45539   -434433.81842   -27.91387   10.53152   0.23283
2464034.51552   51203199.81813   140295486.44459   -427082.79853   -27.97876   10.35546   0.23337
2464034.88088   50319853.12509   140619274.75426   -419714.85710   -28.04253   10.17900   0.23390
2464035.24625   49434512.86743   140937492.03156   -412330.28745   -28.10519   10.00215   0.23442
2464035.61161   48547214.28815   141250126.14755   -404929.38357   -28.16673   9.82492   0.23494
2464035.97698   47657992.70212   141557165.19760   -397512.44000   -28.22715   9.64731   0.23544
2464036.34234   46766883.49471   141858597.50182   -390079.75190   -28.28644   9.46934   0.23594
2464036.70771   45873922.12029   142154411.60542   -382631.61499   -28.34461   9.29101   0.23642
2464037.07307   44979144.10082   142444596.27912   -375168.32554   -28.40165   9.11232   0.23690
2464037.43844   44082585.02436   142729140.51948   -367690.18041   -28.45756   8.93330   0.23736
2464037.80380   43184280.54364   143008033.54932   -360197.47697   -28.51234   8.75393   0.23782
2464038.16917   42284266.37463   143281264.81804   -352690.51312   -28.56599   8.57423   0.23827
2464038.53453   41382578.29504   143548824.00197   -345169.58728   -28.61850   8.39421   0.23871
2464038.89990   40479252.14289   143810701.00471   -337634.99838   -28.66988   8.21387   0.23913
2464039.26527   39574323.81506   144066885.95744   -330087.04583   -28.72011   8.03322   0.23955
2464039.63063   38667829.26580   144317369.21927   -322526.02952   -28.76921   7.85227   0.23996
2464039.99600   37759804.50531   144562141.37752   -314952.24981   -28.81716   7.67103   0.24036
2464040.36136   36850285.59824   144801193.24799   -307366.00752   -28.86396   7.48950   0.24075
2464040.72673   35939308.66225   145034515.87533   -299767.60389   -28.90962   7.30768   0.24113
2464041.09209   35026909.86654   145262100.53324   -292157.34061   -28.95414   7.12560   0.24150
2464041.45746   34113125.43039   145483938.72477   -284535.51980   -28.99750   6.94325   0.24187
2464041.82282   33197991.62167   145700022.18258   -276902.44395   -29.03971   6.76064   0.24222
2464042.18819   32281544.75541   145910342.86917   -269258.41596   -29.08077   6.57777   0.24256
2464042.55355   31363821.19232   146114892.97716   -261603.73912   -29.12068   6.39467   0.24289
2464042.91892   30444857.33728   146313664.92948   -253938.71709   -29.15943   6.21133   0.24322
2464043.28428   29524689.63796   146506651.37961   -246263.65386   -29.19703   6.02776   0.24353
2464043.64965   28603354.58323   146693845.21180   -238578.85379   -29.23347   5.84396   0.24383
2464044.01502   27680888.70182   146875239.54123   -230884.62156   -29.26874   5.65996   0.24413
2464044.38038   26757328.56073   147050827.71426   -223181.26218   -29.30286   5.47574   0.24441
2464044.74575   25832710.76384   147220603.30858   -215469.08095   -29.33582   5.29132   0.24469
2464045.11111   24907071.95040   147384560.13339   -207748.38349   -29.36761   5.10672   0.24495
2464045.47648   23980448.79356   147542692.22955   -200019.47568   -29.39825   4.92192   0.24521
2464045.84184   23052877.99892   147694993.86978   -192282.66368   -29.42771   4.73695   0.24545
2464046.20721   22124396.30302   147841459.55873   -184538.25391   -29.45602   4.55181   0.24569
2464046.57257   21195040.47189   147982084.03319   -176786.55303   -29.48315   4.36651   0.24592
2464046.93794   20264847.29959   148116862.26218   -169027.86793   -29.50912   4.18105   0.24613
2464047.30330   19333853.60670   148245789.44706   -161262.50574   -29.53392   3.99544   0.24634
2464047.66867   18402096.23886   148368861.02167   -153490.77379   -29.55755   3.80969   0.24654
2464048.03403   17469612.06531   148486072.65239   -145712.97959   -29.58001   3.62380   0.24673
2464048.39940   16536437.97742   148597420.23825   -137929.43086   -29.60130   3.43779   0.24690
2464048.76476   15602610.88718   148702899.91101   -130140.43548   -29.62143   3.25166   0.24707
2464049.13013   14668167.72575   148802508.03521   -122346.30148   -29.64038   3.06542   0.24723
2464049.49550   13733145.44202   148896241.20828   -114547.33706   -29.65815   2.87908   0.24738
2464049.86086   12797581.00107   148984096.26052   -106743.85054   -29.67476   2.69264   0.24752
2464050.22623   11861511.38275   149066070.25519   -98936.15036   -29.69019   2.50611   0.24764
2464050.59159   10924973.58018   149142160.48853   -91124.54509   -29.70445   2.31949   0.24776
2464050.95696   9988004.59831   149212364.48979   -83309.34338   -29.71754   2.13280   0.24787
2464051.32232   9050641.45240   149276680.02123   -75490.85397   -29.72945   1.94605   0.24797
